surgery,age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,surgical lesion,site1,type1,subtype1,special code1,site2,type2,subtype2,special code2,site3,type3,subtype3,special code3,cp_data,outcome
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,4.70754717,4,5,46.29520295,7,2.037037037,3.019607843,2,4,1,2,4,0,0,0,0,0,0,0,0,2,1
0,0,38,92,28,1,1,2,1,1,3,2,3,1.582474227,7.2,1,1,37,6.1,1,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,4.70754717,4,4,46,81,1,2,1,2,1,1,2,0,0,0,0,0,0,0,0,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,3.692307692,45,6.8,2.037037037,3.019607843,1,3,2,0,7,0,0,0,0,0,0,0,0,2,2
1,0,38.16791667,128,36,3,3,4,2,4,4,3,3,1.582474227,4.70754717,4,5,53,7.8,3,4.7,2,1,4,0,0,0,0,0,0,0,0,0,0,1,2
0,1,37.5,48,24,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,4.70754717,2,5,40,7,1,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,1,1
0,1,39.4,110,35,4,3,6,1.305970149,2.951020408,3,3,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,55,8.7,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,4.70754717,4,4,46,6.1,2,3.019607843,1,2,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.4,48,16,1,2.017316017,1,1,1,3,1,2,3,5.5,4,3,49,6.8,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.6,42,34,2,1,4,1.305970149,2,3,1,1.755102041,1.582474227,4.70754717,1,3.692307692,48,7.2,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,0,38.3,130,60,2.348360656,3,2.853754941,1,2,4,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,50,70,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.1,60,12,3,3,3,1,2.951020408,4,3,3,2,2,2.757575758,3.692307692,51,65,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,37.8,60,42,2.348360656,2.017316017,2.853754941,1,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,4.70754717,3,5,43,7,2,3.9,1,3,1,1,1,0,0,0,0,0,0,0,0,1,1
1,1,37.8,48,12,3,1,1,1,2.951020408,3,2,1,1,4.70754717,1,3,37,5.5,2,1.3,2,4,1,2,2,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,2,4,3,0,0,0,0,0,0,0,0,0,0,2,2
0,1,37.7,48,30.41735537,2,1,1,1,1,1,1,1,1,4.70754717,2.757575758,3.692307692,45,76,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,2.037037037,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,2,2
0,1,37.2,108,12,3,3,4,2,2,4,2,1.755102041,3,6,3,3,52,8.2,3,7.4,1,2,2,0,7,0,0,0,0,0,0,0,0,1,3
1,1,37.2,60,30.41735537,2,1,1,1,3,3,3,2,1,4.70754717,4,5,43,6.6,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,2,1
1,1,38.2,64,28,1,1,1,1,3,1,2.266393443,1.755102041,1.582474227,4.70754717,4,4,49,8.6,2,6.6,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,100,30,3,3,4,2,5,4,4,3,3,4.70754717,4,4,52,6.6,2.037037037,3.019607843,1,1,1,2,4,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,104,24,4,3,3,2,4,4,3,1.755102041,3,4.70754717,2.757575758,2,73,8.4,2.037037037,3.019607843,1,7,1,1,1,0,0,0,0,0,0,0,0,2,3
0,1,38.3,112,16,2.348360656,3,5,2,2.951020408,2.91796875,1,1,2,4.70754717,2.757575758,5,51,6,2,1,2,5,2,0,5,0,0,0,0,0,0,0,0,1,3
1,1,37.8,72,30.41735537,2.348360656,3,2.853754941,1,5,3,1,1.755102041,1,4.70754717,1,1,56,80,1,2,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.6,52,30.41735537,1,1,1,1,3,3,2,1,1,4.70754717,1,3,32,6.6,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,39.2,146,96,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,1,1,3,0,0,0,0,0,0,0,0,2,2
1,1,38.16791667,88,30.41735537,3,3,6,2,5,3,3,1,3,4.70754717,4,5,63,6.5,3,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,2,2
0,0,39,150,72,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,47,8.5,2.037037037,0.1,1,9,4,0,0,0,0,0,0,0,0,0,0,1,1
0,1,38,60,12,3,1,3,1,3,3,1,1,1,4.70754717,2,2,47,7,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,120,30.41735537,3,4,4,1,4,4,4,1,1,4.70754717,2.757575758,5,52,67,2,2,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
1,1,35.4,140,24,3,3,4,2,4,4,2.266393443,2,1,4.70754717,2.757575758,5,57,69,3,2,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,38.16791667,120,30.41735537,4,3,4,2,5,4,4,1,1,4.70754717,4,5,60,6.5,3,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,2
1,1,37.9,60,15,3,2.017316017,4,2,5,4,4,2,2,4.70754717,4,5,65,7.5,2.037037037,3.019607843,1,2,3,0,5,0,0,0,0,0,0,0,0,1,1
0,1,37.5,48,16,1,1,1,1,1,1,1,1,1,4.70754717,1,3.692307692,37,6.5,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.9,80,44,3,3,3,2,2,3,3,2,2,7,3,1,54,6.5,3,3.019607843,1,7,1,1,1,0,0,0,0,0,0,0,0,2,2
0,1,37.2,84,48,3,3,5,2,4,1,2,1,2,4.70754717,2,1,73,5.5,2,4.1,2,4,3,0,0,0,0,0,0,0,0,0,0,1,2
0,1,38.6,46,30.41735537,1,1,2,1,1,3,2,1,1,4.70754717,2.757575758,2,49,9.1,1,1.6,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
1,1,37.4,84,36,1,2.017316017,3,2,3,3,2,1.755102041,1.582474227,4.70754717,4,5,46.29520295,24.45692884,3,3.019607843,1,7,2,0,9,0,0,0,0,0,0,0,0,1,2
0,1,38.16791667,71.91304348,30.41735537,1,1,3,1,1,3,1,1.755102041,1.582474227,4.70754717,2,2,43,7.7,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.6,40,20,2.348360656,2.017316017,2.853754941,1,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,41,6.4,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
0,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,1,7,4,0,0,0,0,0,0,0,0,0,0,1,3
1,0,38.6,160,20,3,2.017316017,5,1,3,3,4,3,1.582474227,4.70754717,4,3.692307692,38,24.45692884,2,3.019607843,1,7,1,1,1,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,24,6.7,2.037037037,3.019607843,1,3,1,1,2,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,64,36,2,2.017316017,2,1,5,3,3,2,2,4.70754717,2.757575758,3.692307692,42,7.7,2.037037037,3.019607843,1,3,2,0,9,0,0,0,0,0,0,0,0,2,2
1,1,38.16791667,71.91304348,20,4,3,3,1.305970149,5,4,3,2,1.582474227,4.70754717,4,4,53,5.9,3,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,38.16791667,96,30.41735537,3,3,3,2,5,4,4,1,2,4.70754717,4,5,60,24.45692884,2.037037037,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,2,2
0,1,37.8,48,32,1,1,3,1,2,1,2.266393443,1,1,4.70754717,4,5,37,6.7,2.037037037,3.019607843,2,2,1,2,4,0,0,0,0,0,0,0,0,2,1
0,1,38.5,60,30.41735537,2,2,1,1,1,2,2,2,1,4.70754717,1,1,44,7.7,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.8,88,22,2,1,2,1,3,2.91796875,2.266393443,2,1.582474227,4.70754717,4,3.692307692,64,8,1,6,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,38.2,130,16,4,3,4,2,2,4,4,1,1,4.70754717,2.757575758,3.692307692,65,82,2,2,2,2,2,0,9,1,4,0,0,0,0,0,0,2,3
1,1,39,64,36,3,1,4,2,3,3,2,1,2,7,4,5,44,7.5,3,5,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,60,36,3,1,3,1,3,3,2,1,1,4.70754717,3,4,26,72,2,1,1,2,2,0,8,0,0,0,0,0,0,0,0,2,1
0,1,37.9,72,30.41735537,1,1,5,2,3,3,1,1,3,2,3,4,58,74,1,2,1,2,3,2,2,0,0,0,0,0,0,0,0,2,1
0,1,38.4,54,24,1,1,1,1,1,3,1,2,1,4.70754717,3,2,49,7.2,1,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
0,1,38.16791667,52,16,1,2.017316017,3,1,2.951020408,2.91796875,2.266393443,2,3,5.5,2.757575758,3.692307692,55,7.2,2.037037037,3.019607843,2,2,1,2,4,0,0,0,0,0,0,0,0,2,1
0,1,38,48,12,1,1,1,1,1,3,2.266393443,1,1,4.70754717,3,2,42,6.3,2,4.1,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
0,1,37,60,20,3,2.017316017,2.853754941,1,3,2.91796875,3,2,2,4.5,4,4,43,7.6,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,1,3
1,1,37.8,48,28,1,1,1,1,1,2,1,2,1.582474227,4.70754717,1,1,46,5.9,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,37.7,56,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,1,1,3,0,0,0,0,0,0,0,0,2,2
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,3.692307692,54,7.5,2,2.6,1,2,1,1,2,0,0,0,0,0,0,0,0,1,2
1,0,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,37,4.9,2.037037037,3.019607843,1,11,1,2,4,0,0,0,0,0,0,0,0,2,2
1,0,39.7,100,30.41735537,3,3,5,2,2,3,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,48,57,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,2,3
1,1,37.6,38,20,3,3,1,1,3,3,2,1.755102041,1.582474227,4.70754717,3,3.692307692,37,68,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,1
0,1,38.7,52,20,2,2.017316017,1,1,1,1,1,1,1,4.70754717,1,1,33,77,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,71.91304348,30.41735537,3,3,3,3,5,3,3,3,2,4.70754717,4,5,46,5.9,2.037037037,3.019607843,1,3,0,2,5,0,0,0,0,0,0,0,0,2,2
1,1,37.5,96,18,1,3,6,2,3,4,2,2,3,5,2.757575758,4,69,8.9,3,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,1,36.4,98,35,3,3,4,1,4,3,2,1.755102041,1.582474227,4.70754717,4,4,47,6.4,3,3.6,1,2,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,37.3,40,30.41735537,2.348360656,3,1,1,2,3,2,3,1,4.70754717,3,5,36,24.45692884,3,2,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,0,38.1,100,80,3,1,2,1,3,4,1,1.755102041,1.582474227,4.70754717,1,3.692307692,36,5.7,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38,71.91304348,24,3,3,6,2,5,2.91796875,4,1,1,4.70754717,2.757575758,3.692307692,68,7.8,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,2
1,1,37.8,60,80,1,3,2,2,2,3,3,1.755102041,2,5.5,4,3.692307692,40,4.5,2,3.019607843,1,5,2,0,6,0,0,0,0,0,0,0,0,1,1
0,1,38,54,30,2,3,3,3,3,1,2,2,2,4.70754717,2.757575758,4,45,6.2,2.037037037,3.019607843,2,0,4,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,88,40,3,3,4,2,5,4,3,3,1.582474227,4.70754717,4,5,50,7.7,3,1.4,1,4,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,38.16791667,40,16,2.348360656,2.017316017,2.853754941,1,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,50,7,2,3.9,1,2,2,0,8,0,0,0,0,0,0,0,0,1,3
0,1,39,64,40,1,1,5,1,3,3,2,2,1,4.70754717,3,3,42,7.5,2,2.3,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,38.3,42,10,1,1,1,1,1,1,1,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,38,61,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38,52,16,2.348360656,2.017316017,2.853754941,1.305970149,2,2.91796875,2.266393443,1.755102041,3,1,1,1,53,86,2.037037037,3.019607843,1,2,3,2,2,0,0,0,0,0,0,0,0,2,1
0,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,38.8,50,20,3,1,1,1,1,1,1,2,1,4.70754717,3,1,42,6.2,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,71.91304348,30.41735537,3,3,1,1,5,3,3,1,1,4.70754717,4,5,38,6.5,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,2
0,1,37.5,48,30,4,1,3,1,2.951020408,2,1,1,1,4.70754717,1,1,48,8.6,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.3,48,20,2.348360656,1,2,1,3,3,3,2,1,4.70754717,3,5,41,69,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,84,36,2.348360656,2.017316017,3,1,2.951020408,3,1,2,1,4.70754717,3,2,44,8.5,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.1,88,32,3,3,4,1,2,3,3,1.755102041,3,1,4,5,55,60,2.037037037,3.019607843,2,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,37.7,44,40,2,1,3,1,1,3,2,1,1,4.70754717,1,5,41,60,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,39.6,108,51,3,3,6,2,2,4,3,1,2,4.70754717,3,5,59,8,2,2.6,2,4,3,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.2,40,16,3,3,1,1,1,3,2.266393443,1.755102041,1.582474227,4.70754717,1,1,34,66,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,60,20,4,3,4,2,5,4,2.266393443,1.755102041,1,4.70754717,4,5,46.29520295,24.45692884,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,38.3,40,16,3,2.017316017,1,1,2,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,37,57,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,38,140,68,1,1,1,1,3,3,2,1.755102041,1.582474227,4.70754717,2,1,39,5.3,2.037037037,3.019607843,1,7,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,37.8,52,24,1,3,3,1,4,4,1,2,3,5.7,2,5,48,6.6,1,3.7,1,5,4,0,0,0,0,0,0,0,0,0,0,2,2
1,1,38.16791667,70,36,1,2.017316017,3,2,2,3,2,2,1.582474227,4.70754717,4,5,36,7.3,2.037037037,3.019607843,1,31,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,38.3,52,96,2.348360656,3,3,1,2.951020408,2.91796875,2.266393443,1,1,4.70754717,1,3.692307692,43,6.1,2.037037037,3.019607843,1,3,2,0,9,0,0,0,0,0,0,0,0,1,1
0,1,37.3,50,32,1,1,3,1,1,3,2,1.755102041,1.582474227,4.70754717,1,3.692307692,44,7,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.7,60,32,4,3,2,2,4,4,4,1.755102041,1.582474227,4.70754717,4,5,53,64,3,2,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
1,0,38.4,84,40,3,3,2,1,3,3,3,1,1,4.70754717,2.757575758,3.692307692,36,6.6,2,2.8,1,2,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,70,16,3,4,5,2,2,3,2,2,1,4.70754717,4,5,60,7.5,2.037037037,3.019607843,1,2,1,1,2,0,0,0,0,0,0,0,0,2,2
1,1,38.3,40,16,3,2.017316017,2.853754941,1,1,3,2,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,38,58,1,2,1,3,1,1,1,7,1,1,1,0,0,0,0,2,1
1,1,38.16791667,40,30.41735537,2,1,1,1,1,3,1,1,1,4.70754717,2.757575758,5,39,56,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,36.8,60,28,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,10,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,38.4,44,24,3,2.017316017,4,1.305970149,5,4,3,2,1,4.70754717,4,5,50,77,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,71.91304348,40,3,1,1,1,3,3,2,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,45,70,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38,44,12,1,1,1,1,3,3,3,2,1,4.70754717,4,5,42,65,2.037037037,3.019607843,1,3,2,0,5,3,1,1,1,0,0,0,0,2,1
0,1,39.5,71.91304348,30.41735537,3,3,4,2,3,4,3,1.755102041,3,5.5,4,5,46.29520295,6.7,1,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,2,3
1,1,36.5,78,30,1,2.017316017,1,1,5,3,1,1.755102041,1,4.70754717,2.757575758,3.692307692,34,75,2,1,1,3,1,1,2,6,1,1,2,0,0,0,0,2,1
0,1,38.1,56,20,2,1,2,1,1,3,1,1,1,4.70754717,2.757575758,3.692307692,46,70,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,39.4,54,66,1,1,2,1,2,3,2,1,1,4.70754717,3,4,39,6,2,3.019607843,1,2,2,0,6,0,0,0,0,0,0,0,0,1,1
1,1,38.3,80,40,2.348360656,2.017316017,6,2,4,3,1,1.755102041,2,4.70754717,1,4,67,10.2,2,1,1,2,2,0,8,0,0,0,0,0,0,0,0,2,3
0,1,38.7,40,28,2,1,1,1,3,1,1,1.755102041,1.582474227,4.70754717,1,3.692307692,39,62,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.2,64,24,1,1,3,1,4,4,3,2,1,4.70754717,4,4,45,7.5,1,2,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,37.6,48,20,3,1,4,1,1,1,3,2,1,4.70754717,1,1,37,5.5,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,3
1,1,38,42,68,4,1,1,1,3,3,2,2,2,4.70754717,4,4,41,7.6,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,1
1,1,38.7,71.91304348,30.41735537,3,1,3,1,5,4,2,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,33,6.5,2,3.019607843,1,31,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,37.4,50,32,3,3,2.853754941,1,4,4,1,2,1,4.70754717,1,3.692307692,45,7.9,2,1,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,1,37.4,84,20,2.348360656,2.017316017,3,1,2,3,3,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,31,61,2.037037037,1,2,2,2,0,8,0,0,0,0,0,0,0,0,2,3
1,1,38.4,49,30.41735537,2.348360656,2.017316017,1,1,2.951020408,2.91796875,1,2,1,4.70754717,2.757575758,3.692307692,44,7.6,2.037037037,3.019607843,1,2,2,0,6,0,0,0,0,0,0,0,0,2,1
1,1,37.8,30,12,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,1,1,3,0,0,0,0,0,0,0,0,2,2
0,1,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,2.757575758,3.692307692,44,6,2.037037037,3.019607843,1,1,4,0,0,0,0,0,0,0,0,0,0,2,2
0.602006689,1,38,48,20,3,1,3,1,4,3,1,2,1,4.70754717,3,5,43,73,2,1,1,3,1,1,1,0,0,0,0,0,0,0,0,2,2
0,1,37.9,40,24,1,1,1,1,2,3,1,1.755102041,1.582474227,4.70754717,2.757575758,3,40,5.7,2.037037037,3.019607843,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,100,30.41735537,3,2.017316017,4,2,5,4,2.266393443,2,1.582474227,4.70754717,2,3.692307692,59,6.3,2.037037037,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,2,2
1,0,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,3.692307692,33,4.9,2,2.9,1,2,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,71.91304348,30.41735537,3,3,3,2,5,3,3,3,2,4.70754717,4,5,46,5.9,2.037037037,3.019607843,1,3,0,2,5,0,0,0,0,0,0,0,0,2,2
1,1,38,48,30.41735537,1,1,1,1,1,2,4,2,2,4.70754717,4,5,46.29520295,24.45692884,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38,56,30.41735537,1,2,3,1,1,1,1,1,1,4.70754717,1,1,42,71,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38,60,32,1,1,2.853754941,1,3,3,2.266393443,1,1,4.70754717,2.757575758,3.692307692,50,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.1,44,9,3,1,1,1,2,2,1,1,1,4.70754717,4,5,31,7.3,2.037037037,3.019607843,2,5,1,2,4,0,0,0,0,0,0,0,0,2,1
